epoch,accuracy,loss,val_accuracy,val_loss
0,0.7611639499664307,0.6486330628395081,0.7947916388511658,0.5964515209197998
1,0.765625,0.7215980291366577,0.7958333492279053,0.5907260179519653
2,0.7731393575668335,0.6225111484527588,0.8020833134651184,0.5547834038734436
3,0.71875,0.812308669090271,0.8052083253860474,0.5548707246780396
4,0.7743704319000244,0.6133745908737183,0.8145833611488342,0.5383670330047607
5,0.8125,0.5405725240707397,0.8125,0.5403467416763306
6,0.7835478186607361,0.5895888209342957,0.8291666507720947,0.5018821358680725
7,0.78125,0.8878481388092041,0.8291666507720947,0.5025003552436829
8,0.7963066697120667,0.567181408405304,0.8385416865348816,0.5123531818389893
9,0.78125,0.5182411670684814,0.8354166746139526,0.5114972591400146
10,0.8029099106788635,0.5597955584526062,0.8364583253860474,0.5091530680656433
11,0.796875,0.5808311700820923,0.8374999761581421,0.5038865804672241
12,0.814213752746582,0.527644693851471,0.8322916626930237,0.4960053265094757
13,0.78125,0.6783453226089478,0.8322916626930237,0.4945988655090332
14,0.8205931782722473,0.5098770260810852,0.831250011920929,0.4916362166404724
15,0.890625,0.33286988735198975,0.831250011920929,0.49126550555229187
16,0.8133184313774109,0.5177000164985657,0.8322916626930237,0.4938650131225586
17,0.78125,0.7286622524261475,0.831250011920929,0.49558207392692566
18,0.8182428479194641,0.5156273245811462,0.8385416865348816,0.4908166825771332
